アニメシリーズID,メディア,タイトル,よみがな,開始年月日,終了年月日,放送局／劇場／販売元,原作,uri
ANS000019100,TV,宇宙パトロールホッパ,ウチュウパトロールホッパ,1965/02/01,1965/11/29,NET,原作/深川鉄次 「ぼくら」連載,http://mediaarts-db.jp/an/anime_series/295
ANS000019200,劇場,ガリバーの宇宙旅行,ガリバーノウチュウリョコウ,1965/03/20,-,東映,NULL,http://mediaarts-db.jp/an/anime_series/297
ANS000019300,TV,ドルフィン王子,ドルフィンオウジ,1965/04/04,1965/04/18,フジテレビ,原案/岡部一彦、北川幸比古、杉山卓,http://mediaarts-db.jp/an/anime_series/299
ANS000019400,TV,宇宙人ピピ,ウチュウジンピピ,1965/04/08,1966/03/31,NHK,原作/小松左京,http://mediaarts-db.jp/an/anime_series/301
ANS000019500,TV,宇宙少年ソラン,ウチュウショウネンソラン,1965/05/04,1967/03/28,TBS,原案/福本和也■まんが（原画）/宮腰義勝,http://mediaarts-db.jp/an/anime_series/303
ANS000019600,TV,宇宙エース,ウチュウエース,1965/05/08,1966/04/28,フジテレビ,原作/吉田竜夫,http://mediaarts-db.jp/an/anime_series/305
ANS000019800,TV,遊星少年パピイ,ユウセイショウネンパピィ,1965/06/03,1966/05/27,フジテレビ,原作/吉倉正一郎■まんが（原画）/井上英沖,http://mediaarts-db.jp/an/anime_series/309
ANS000019700,TV,怪盗プライド,カイトウプライド,1965/05/31,1965/11/04,フジテレビ,原作/岡部一彦,http://mediaarts-db.jp/an/anime_series/307
ANS000020000,TV,オバケのQ太郎,オバケノキュウタロウ,1965/08/29,1969/03/26,TBS,原作/藤子不二雄,http://mediaarts-db.jp/an/anime_series/313
ANS000020100,TV,ジャングル大帝,ジャングルタイテイ,1965/10/06,1967/09/28,フジテレビ,原作/手塚治虫,http://mediaarts-db.jp/an/anime_series/315
ANS000019900,TV,W3,ワンダースリー,1965/06/06,1966/06/27,フジテレビ,原作/手塚治虫,http://mediaarts-db.jp/an/anime_series/311
ANS000020300,TV,戦え!オスパー,タタカエ!オスパー,1965/12/14,1967/10/31,日本テレビ,原作/山野浩一,http://mediaarts-db.jp/an/anime_series/319
ANS000020200,TV,ハッスルパンチ,ハッスルパンチ,1965/11/01,1966/04/25,NET,原案/森やすじ 「まんが王」連載（中期以降）,http://mediaarts-db.jp/an/anime_series/317
ANS000020800,劇場,少年忍者 風のフジ丸 まぼろし魔術団,ショウネンニンジャカゼノフジマル　マボロシマジュツダン,1965/03/20,-,東映,白土三平,http://mediaarts-db.jp/an/anime_series/323
